Nama Perusahaan,Pekerjaan,Fee,PIC,Schedule Invoice,Estimasi Cash In
PT ABM Investama Tbk,FDD project biru,"220,000,000",,,
PT Globalization Partners Indonesia,Audit 31 Desember 2024,"10,500,000",RANGGA,MARET,MARET
PT Globalization Partners Indonesia,Audit 31 Desember 2024,"17,500,000",RANGGA,MARET,APRIL
PT Globalization Partners Indonesia,Audit 31 Desember 2024,"7,000,000",RANGGA,APRIL,MEI
PT Sany Heavy Industry Indonesia,Audit 31 Desember 2024,"30,000,000","RANGGA, STEFANI",MARET,MARET
PT Sany Heavy Industry Indonesia,Audit 31 Desember 2024,"50,000,000","RANGGA, STEFANI",APRIL,MEI
PT Sany Heavy Industry Indonesia,Audit 31 Desember 2024,"20,000,000","RANGGA, STEFANI",MEI,JUNI
PT Sany Indonesia Heavy Equipment,Audit 31 Desember 2024,"22,500,000","RANGGA, STEFANI",MARET,MARET
PT Sany Indonesia Heavy Equipment,Audit 31 Desember 2024,"37,500,000","RANGGA, STEFANI",APRIL,MEI
PT Sany Indonesia Heavy Equipment,Audit 31 Desember 2024,"15,000,000","RANGGA, STEFANI",MEI,JUNI
PT Sany Indonesia Machinery,Audit 31 Desember 2024,"52,500,000","RANGGA, STEFANI",MARET,MARET
PT Sany Indonesia Machinery,Audit 31 Desember 2024,"87,500,000","RANGGA, STEFANI",APRIL,MEI
PT Sany Indonesia Machinery,Audit 31 Desember 2024,"35,000,000","RANGGA, STEFANI",MEI,JUNI
PT Sany Indonesia Mining Equipment,Audit 31 Desember 2024,"22,500,000","RANGGA, STEFANI",MARET,MARET
PT Sany Indonesia Mining Equipment,Audit 31 Desember 2024,"37,500,000","RANGGA, STEFANI",APRIL,MEI
PT Sany Indonesia Mining Equipment,Audit 31 Desember 2024,"15,000,000","RANGGA, STEFANI",MEI,JUNI
PT Agri Hikay,KPPK 31 Des 2024,"6,250,000",GRESSY,MARET,MARET
PT Agri Hikay,KPPK 31 Des 2024,"6,250,000",LAYLA,JUNI,JULI
PT Agri Indomas,KPPK 31 Des 2024,"6,250,000",GRESSY,MARET,MARET
PT Agri Indomas,KPPK 31 Des 2024,"6,250,000",LAYLA,JUNI,JULI
PT Petro Andalan Nusantara,KPPK 31 Des 2024,"6,250,000",GRESSY,MARET,MARET
PT Petro Andalan Nusantara,KPPK 31 Des 2024,"6,250,000",LAYLA,JUNI,JULI
PT Sentana Adidaya,KPPK 31 Des 2024,"6,250,000",GRESSY,MARET,MARET
PT Sentana Adidaya,KPPK 31 Des 2024,"6,250,000",LAYLA,JUNI,JULI
Undip,PSAK 71 dan 73,"90,000,000",SALLY,MARET,MARET
Undip,PSAK 71 dan 73,"90,000,000",SALLY,APRIL,MEI
PT Aria Hijau Alamlestari,Audit 31 Des 2024,"82,250,000",,,
PT Dayamitra Telekomunikasi,Pendampingan implementasi PSAK 71 2025,"120,000,000",,,
PT Hexindo,Pendampingan implementasi PSAK 71 31 Maret 2025,"75,000,000",,,
PT Kereta Api Indonesia (Persero) Tbk,ICOFR,"4,150,000,000",,,
PT Liebherr Indonesia Perkasa,KPPK 31 Des 2024,"24,000,000",,,
PT Chitra Paratama,KPPK 31 Des 2024,"16,500,000",,,
PT JGC Indonesia,KPPK 31 Des 2024,"14,300,000",,,
Komunika Jaya Nusantara,Audit 31 Des 2022 dan 2023,"90,000,000",,,
PT Medco Power Indonesia,KPPK 31 Des 2024,"17,500,000",,,
PT Medco Ratch Power Riau,KPPK 31 Des 2024,"17,500,000",,,
PT Medco Energy Internasional,KPPK 31 Des 2024,"17,500,000",,,
PT Medco EP Tomori Sulawesi,KPPK 31 Des 2024,"17,500,000",,,
PT Medco EP Malaka,KPPK 31 Des 2024,"17,500,000",,,
Agro Hope,KPPK 31 Des 2024,"120,000,000",,,
PT Chandra Sakti Utama Leasing,KPPK 31 Des 2024,"16,500,000",,,
