No,Jenis Pekerjaan,Nama Calon Klien,Detail Pekerjaan,  Fee,PIC,confirmed/not confirmed,Notes,
1,DUE DILIGENCE,PT ABM Investama Tbk,FTDD diamond project," Rp 220,000,000 ",,Not confirmed,"info dari pak hans, saat ini tim nya masih fokus terhadap proses year end audit",
2,AUDIT,PT Globalization Partners Indonesia,Audit 31 Desember 2024," Rp 35,000,000 ",,Confirmed,hc englet proses signing di klien,
3,AUDIT,PT Sany Heavy Industry Indonesia,Audit 31 Des 2023," Rp 100,000,000 ",,Confirmed,hc englet proses signing di klien,
4,AUDIT,PT Sany Indonesia Heavy Equipment,Audit 31 Des 2024," Rp 75,000,000 ",,Confirmed,hc englet proses signing di klien,
5,AUDIT,PT Sany Indonesia Machinery,Audit 31 Des 2024," Rp 175,000,000 ",,Confirmed,hc englet proses signing di klien,
6,AUDIT,PT Sany Indonesia Mining Equipment,Audit 31 Des 2024," Rp 75,000,000 ",,Confirmed,hc englet proses signing di klien,
7,KPPK,PT Agri Hikay,KPPK 31 Des 2024," Rp 12,500,000 ",,Confirmed,hc englet proses signing di klien,
8,KPPK,PT Agri Indomas,KPPK 31 Des 2024," Rp 12,500,000 ",,Confirmed,hc englet proses signing di klien,
9,KPPK,PT Petro Andalan Nusantara,KPPK 31 Des 2024," Rp 12,500,000 ",,Confirmed,hc englet proses signing di klien,
10,KPPK,PT Sentana Adidaya,KPPK 31 Des 2024," Rp 12,500,000 ",,Confirmed,hc englet proses signing di klien,
11,IFRS,Undip,PSAK 71 dan 73," Rp 150,000,000 ",,Confirmed,sedang proses drafting englet di klien,
12,AUDIT,PT Aria Hijau Alamlestari,Audit 31 Des 2024," Rp 82,250,000 ",,Confirmed,hc englet proses signing di klien,
13,IFRS,PT Dayamitra Telekomunikasi,Pendampingan implementasi PSAK 71 2025," Rp 120,000,000 ",,Confirmed,tim internal mitratel sedang proses persiapan dokumen2 utk ke pengadaan,
14,IFRS,PT Hexindo Adiperkasa,Implementasi PSAK 71 31 Maret 2025," Rp 75,000,000 ",,Confirmed,hc englet proses signing di klien,
15,CONSULTING,PT Kereta Api Indonesia (Persero) Tbk,ICOFR," Rp 4,150,000,000 ",ref: mba yuli,Confirmed,sedang proses drafting TOR,
16,KPPK,PT Liebherr Indonesia Perkasa,KPPK 31 Des 2024," Rp 24,000,000 ",,Confirmed,draf englet proses review klien,
17,KPPK,PT Chitra Paratama,KPPK 31 Des 2024," Rp 16,500,000 ",,Confirmed,draf englet proses review klien,
18,KPPK,PT JGC Indonesia,KPPK 31 Des 2024," Rp 14,300,000 ",,Confirmed,draf englet proses review klien,
19,AUDIT,Komunika Jaya Nusantara,Audit 31 Des 2022 dan 2023," Rp 90,000,000 ",,Confirmed,draf englet proses review klien,
20,KPPK,PT Medco Power Indonesia,KPPK 31 Des 2024," Rp 17,500,000 ",,Confirmed,draf englet akan dikirimkan max 3 mar 2025,
21,KPPK,PT Medco Ratch Power Riau,KPPK 31 Des 2024," Rp 17,500,000 ",,Confirmed,draf englet akan dikirimkan max 3 mar 2025,
