,No,Jenis Pekerjaan,Nama Calon Klien,Detail Pekerjaan,Fee,PIC,Status,Status Level,Notes
0,1,DUE DILIGENCE,PT ABM Investama Tbk,FTDD diamond project,220000000,,Not confirmed,Confirm,"info dari pak hans, saat ini tim nya masih fokus terhadap proses year end audit"
1,2,AUDIT,PT Globalization Partners Indonesia,Audit 31 Desember 2024,35000000,,Confirmed,Confirm,hc englet proses signing di klien
2,3,AUDIT,PT Sany Heavy Industry Indonesia,Audit 31 Des 2023,100000000,,Confirmed,Confirm,hc englet proses signing di klien
3,4,AUDIT,PT Sany Indonesia Heavy Equipment,Audit 31 Des 2024,75000000,,Confirmed,Confirm,hc englet proses signing di klien
4,5,AUDIT,PT Sany Indonesia Machinery,Audit 31 Des 2024,175000000,,Confirmed,Confirm,hc englet proses signing di klien
5,6,AUDIT,PT Sany Indonesia Mining Equipment,Audit 31 Des 2024,75000000,,Confirmed,Confirm,hc englet proses signing di klien
6,7,KPPK,PT Agri Hikay,KPPK 31 Des 2024,12500000,,Confirmed,Confirm,hc englet proses signing di klien
7,8,KPPK,PT Agri Indomas,KPPK 31 Des 2024,12500000,,Confirmed,Confirm,hc englet proses signing di klien
8,9,KPPK,PT Petro Andalan Nusantara,KPPK 31 Des 2024,12500000,,Confirmed,Confirm,hc englet proses signing di klien
9,10,KPPK,PT Sentana Adidaya,KPPK 31 Des 2024,12500000,,Confirmed,Confirm,hc englet proses signing di klien
10,11,IFRS,Undip,PSAK 71 dan 73,150000000,,Confirmed,Confirm,sedang proses drafting englet di klien
11,12,AUDIT,PT Aria Hijau Alamlestari,Audit 31 Des 2024,82250000,,Confirmed,Confirm,hc englet proses signing di klien
12,13,IFRS,PT Dayamitra Telekomunikasi,Pendampingan implementasi PSAK 71 2025,120000000,,Confirmed,Confirm,tim internal mitratel sedang proses persiapan dokumen2 utk ke pengadaan
13,14,IFRS,PT Hexindo Adiperkasa,Implementasi PSAK 71 31 Maret 2025,75000000,,Confirmed,Confirm,hc englet proses signing di klien
14,15,CONSULTING,PT Kereta Api Indonesia (Persero) Tbk,ICOFR,4150000000,ref: mba yuli,Confirmed,Confirm,sedang proses drafting TOR
15,16,KPPK,PT Liebherr Indonesia Perkasa,KPPK 31 Des 2024,24000000,,Confirmed,Confirm,draf englet proses review klien
16,17,KPPK,PT Chitra Paratama,KPPK 31 Des 2024,16500000,,Confirmed,Confirm,draf englet proses review klien
17,18,KPPK,PT JGC Indonesia,KPPK 31 Des 2024,14300000,,Confirmed,Confirm,draf englet proses review klien
