Nama Perusahaan,Termin,Pekerjaan,Fee,BULAN,WEEK,ESTIMASI CASH IN,PIC
PT Pegadaian,Fouth,ICOFR,"2,648,648,649",2026,2026,2026,FANNY
PT Pegadaian,Second,ICOFR,"2,207,207,207",JUNI,MINGGU 3,JULI,FANNY
PT Wijaya Karya,Second,ICOFR,"1,995,000,000",JUNI,MINGGU 3,JULI,FAUZAN
PT Pegadaian,Third,ICOFR,"1,765,765,766",NOVEMBER,MINGGU 3,DESEMBER,FANNY
PT Wijaya Karya,Final,ICOFR,"1,596,000,000",2026,2026,2026,FAUZAN
PT Pegadaian,Fifth,ICOFR,"882,882,883",2026,2026,2026,FANNY
PT Pegadaian,Sixth,ICOFR,"441,441,441",2026,2026,2026,FANNY
PT Kimia Farma,Second,Audit 31 Des 2024,"440,000,000",MARET,MINGGU 3,APRIL,HABIL
PT Kimia Farma,Final,Audit 31 Des 2024,"440,000,000",APRIL,MINGGU 2,MEI,HABIL
PT INALUM,Final,Kebijakan dan SOP aset,"374,100,000",MARET,MINGGU 2,MEI,YULIANA
PT Waskita Karya (Persero) Tbk,Third,Audit 31 Des 2024,"342,720,000",MARET,MINGGU 3,MEI,NILUH
PT Waskita Karya (Persero) Tbk,Final,Audit 31 Des 2024,"342,720,000",APRIL,MINGGU 3,MEI,NILUH
Bank DKI,Second,due diligence bank malut,"286,936,937",APRIL,MINGGU 3,MEI,ELIN
PT Trakindo Utama,Second,asesmen PSAK 116 (psak 73) terhadap migrasi sistem,"250,000,000",MARET,MINGGU 2,APRIL,ANDINI
Perumnas,Second,Audit 31 Des 2024,"247,500,000",MARET,MINGGU 3,APRIL,GRESSY
Bank DKI,Third,due diligence bank malut,"245,945,946",JUNI,MINGGU 3,JULI,ELIN
Telkom Infra,Final,PSAK 72 2024,"242,000,000",MARET,MINGGU 2,APRIL,SALLY
PT Bio Farma (Persero),Second,Audit 31 Des 2024,"200,000,000",MARET,MINGGU 3,APRIL,FATONI
PT Bio Farma (Persero),Final,Audit 31 Des 2024,"200,000,000",APRIL,MINGGU 2,MEI,FATONI
PT Indofarma,Second,Audit 31 Des 2024,"198,000,000",MARET,MINGGU 3,APRIL,RANGGA
PT Indofarma,Final,Audit 31 Des 2024,"198,000,000",APRIL,MINGGU 2,MEI,RANGGA
PT Waskita Beton Precast Tbk,Third,Audit 31 Des 2024,"197,064,000",MARET,MINGGU 2,APRIL,NILUH
PT Waskita Beton Precast Tbk,Final,Audit 31 Des 2024,"197,064,000",APRIL,MINGGU 3,MEI,NILUH
PT Patra Jasa,Second,Audit laporan keuangan konsolidasian 31 Des 2024,"174,000,000",MARET,MINGGU 2,APRIL,LINA
Bank DKI,First,due diligence bank malut,"163,963,964",MARET,MINGGU 3,MEI,ELIN
PT Trakindo Utama,Second,SPT Badan 2024,"150,160,000",APRIL,MINGGU 2,MEI,ELIN
PT Trakindo Utama,Final,SP2DK,"139,000,000",OKTOBER,MINGGU 2,NOVEMBER,ELIN
Sarana Jaya,Second,Audit 31 Des 2024,"134,840,000",APRIL,MINGGU 3,MEI,GRESSY
Telkom Infra,Final,PSAK 71 2024,"133,000,000",MARET,MINGGU 2,APRIL,SALLY
PT Pefindo Biro Kredit,Lumpsum,audit independen proyek implementasi phase 3,"125,000,000",MARET,MINGGU 1,APRIL,ANGGA
TPK Koja,Final,Kajian akuntansi dan pajak,"125,000,000",MARET,MINGGU 2,APRIL,FATONI
PT Trakindo Utama,Final,SPT Badan 2024,"112,620,000",MEI,MINGGU 2,JUNI,ELIN
Sarana Jaya,Final,Audit 31 Des 2024,"107,872,000",MEI,MINGGU 3,JUNI,GRESSY
PT Trakindo Utama,Final,asesmen PSAK 116 (psak 73) terhadap migrasi sistem,"100,000,000",MARET,MINGGU 3,MEI,ANDINI
Perumnas,Final,Audit 31 Des 2024,"99,000,000",MARET,MINGGU 3,MEI,GRESSY
PT Pembangunan Graha Lestari Indah,Second,Audit 31 Desember 2024,"95,000,000",MARET,MINGGU 3,APRIL,KIKI
BMD,Final,due diligence BJB,"88,288,288",MARET,MINGGU 3,APRIL,SERLI
